1	6330300101	39	13	26
2	6430300013	39	11	26
3	6430300030	37	19	32
4	6430300048	38	16	39
5	6430300064	38	11	22
6	6430300081	31	13	31
7	6430300099	36	13	36
8	6430300111	39	18	39
9	6430300170	39	17	38
10	6430300188	40	14	20
11	6430300196	33	10	25
12	6430300234	37	14	40
13	6430300242	33	16	20
14	6430300269	33	12	37
15	6430300277	31	15	40
16	6430300293	37	14	28
17	6430300331	37	10	33
18	6430300340	39	17	25
19	6430300412	37	19	20
20	6430300421	36	11	33
21	6430300463	33	15	38
22	6430300471	40	15	24
23	6430300480	33	12	28
24	6430300510	33	17	33
25	6430300552	35	18	40
26	6430300561	32	16	22
27	6430300579	31	18	34
28	6430300595	40	11	39
29	6430300625	37	19	27
30	6430300633	36	17	34
31	6430300650	37	17	35
32	6430300668	32	11	30
33	6430300684	30	12	21
34	6430300722	31	11	24
35	6430300749	40	12	30
36	6430300757	40	10	33
37	6430300781	35	13	34
38	6430300838	38	13	22
39	6430300854	32	17	39
40	6430300862	37	20	34
41	6430300871	33	10	40
42	6430300889	33	20	32
43	6430300901	30	16	24
44	6430300951	36	12	25
45	6430300978	37	12	26
46	6430300986	37	19	29
47	6430301001	39	10	37
48	6430301010	30	17	36
49	6430301095	38	10	27
